"DL_score","ML_score","Truth"
0.00024552067,0,"1"
0.01721568,0,"1"
0.00983945,0.15330957,"1"
0.25071418,0,"0"
0.8966568,0.9912305,"0"
0.99800664,0,"0"
0.97659487,0.1057952,"0"
0.5220593,0,"0"
0.13697042,0.5359189,"0"
0.84799963,0,"0"
0.63801944,0,"0"
0.33634114,0,"0"
0.8269806,0.54472196,"0"
0.9905183,0,"0"
0.9956038,0.069091074,"0"
0.60852706,0,"0"
0.6983773,0.7615939,"0"
0.99360013,0.79608023,"0"
0.9080581,0.13461813,"0"
0.6847107,0,"0"
0.032433055,0.33303276,"0"
0.78778243,0.61522466,"0"
0.9699191,0.9441983,"0"
0.12019995,0,"0"
0.9151385,0.28055945,"0"
0.054527372,0,"0"
0.95956373,0.3709852,"0"
0.96424437,0,"0"
0.51543427,0,"0"
0.9912846,0.86891025,"0"
0.9095117,0.026742766,"0"
0.8946674,0.913551,"0"
0.6828613,0,"0"
0.8824997,0,"0"
0.48647526,0.7133479,"0"
0.22557378,0.6099034,"0"
0.85219526,0.01831592,"0"
0.05725957,0.054921202,"0"
0.1587026,0.6225476,"0"
0.3645533,0,"0"
0.022211345,0,"0"
0.3956878,0,"0"
0.6769656,0,"0"
0.556003,0.17188346,"0"
0.2864982,0.9125342,"0"
0.9976312,0,"0"
0.9573748,0.2607715,"0"
0.25989026,0,"0"
0.11234116,0.8567137,"0"
0.7154269,0.43947908,"0"
0.87814605,0,"0"
0.48015448,0.9615848,"0"
0.41166738,0,"0"
0.18589756,0,"0"
0.2445955,0.16953489,"0"
0.9878236,0.20354265,"0"
0.60170734,0,"0"
0.998555,0.85125697,"0"
0.23799224,0.9077944,"0"
0.77996993,0,"0"
0.6871695,0.13440582,"0"
0.7608907,0,"0"
0.9889086,0,"0"
0.0880364,0.77371305,"0"
0.034286574,0,"0"
0.99437344,0,"0"
0.9689673,0.004692939,"0"
0.90376425,0.45890835,"0"
0.60126036,0,"0"
0.9926602,0.44517666,"0"
0.998548,0,"0"
0.93874496,0,"0"
0.9412677,0,"0"
0.17435348,0,"0"
0.15614319,0.11667965,"0"
0.9943982,0.9172338,"0"
0.87033916,0.8944887,"0"
0.62444735,0.01272892,"0"
0.26860592,0,"0"
0.9347796,0.8930308,"0"
0.4802307,0,"0"
0.9242306,0,"0"
0.4499238,0,"0"
0.9969765,0,"0"
0.21803476,0.5930733,"0"
0.9987213,0,"0"
0.9987948,0.89658386,"0"
0.8080978,0.53278273,"0"
0.048944492,0.63855445,"0"
0.87834144,0,"0"
0.5548282,0,"0"
0.63119423,0.83132213,"0"
0.9664646,0,"0"
0.47907397,0,"0"
0.7167246,0.45385662,"0"
0.75343645,0.8811857,"0"
0.54814464,0,"0"
0.80652815,0.5436619,"0"
0.86800855,0,"0"
0.003935514,0.8601571,"0"
0.83433115,0.5441626,"0"
2.9117715e-05,0.9975311,"0"
0.5648284,0.9880574,"0"
0.04033813,0,"0"
0.38406348,0.5611371,"0"
0.17742372,0,"0"
0.16167615,0,"0"
0.8959328,0.9057561,"0"
0.94014347,0,"0"
0.108155206,0,"0"
0.41829413,0.42083028,"0"
0.12506565,0.88962305,"0"
0.7567131,0,"0"
0.0062898127,0,"0"
0.24612212,0.13814539,"0"
0.8010998,0,"0"
0.26799336,0,"0"
0.017539201,0,"0"
0.08393925,0,"0"
0.09665124,0,"0"
0.00041458156,0,"0"
0.91356033,0.80652875,"0"
0.46742547,0.2255215,"0"
0.6419457,0,"0"
0.7181772,0.19550426,"0"
0.7329474,0.34180397,"0"
0.986401,0.81408566,"0"
0.17714284,0.10635568,"0"
0.09042706,0.41174355,"0"
0.7482598,0,"0"
0.1394508,0.9427357,"0"
0.95596856,0.43344438,"0"
0.056238197,0,"0"
0.039482065,0,"0"
0.0047676573,0,"0"
0.82445824,0,"0"
0.8101275,0.4248572,"0"
0.5844157,0,"0"
0.5040759,0,"0"
0.048400983,0.34844416,"0"
0.6207166,0.19244227,"0"
0.99867886,0.44349408,"0"
0.8711969,0,"0"
0.10740936,0,"0"
0.99706143,0,"1"
0.033811912,0,"0"
0.6061228,0,"0"
0.17638133,0,"0"
0.99877256,0,"0"
0.20098004,0.31170037,"0"
0.2898087,0.9623635,"0"
0.9257816,0,"0"
0.11578139,0,"0"
0.9837118,0,"0"
0.8192534,0.98073006,"0"
0.39317393,0.5966958,"0"
0.9292753,0,"0"
0.28857753,0.4279371,"0"
0.7447356,0,"0"
0.72037846,0.31435925,"0"
0.7298736,0.1662115,"0"
0.99477744,0.49139374,"0"
0.7405672,0.45625144,"0"
0.99925286,0.12108724,"0"
0.039950848,0,"0"
0.706082,0,"0"
0.68223095,0.8322848,"0"
0.0018883331,0,"0"
0.9967637,0,"0"
0.4786133,0.101208255,"0"
0.99924636,0,"0"
0.6050871,0,"0"
0.9935002,0,"0"
0.5414057,0,"0"
0.8386435,0,"0"
0.3359671,0,"0"
0.92634636,0.8535651,"0"
0.7097148,0.80234444,"0"
0.955529,0,"0"
0.9976992,0.18498361,"0"
0.7989845,0.9308154,"0"
0.7351114,0,"0"
0.082783036,0.25143424,"0"
0.88082856,0,"0"
0.86605895,0.073825456,"0"
0.4901726,0,"0"
0.95848334,0.50376076,"0"
0.13242216,0.36076942,"0"
0.03023832,0.5528238,"0"
0.19802578,0.9714693,"0"
0.0085654985,0,"0"
0.9939307,0,"0"
0.13814095,0,"0"
0.5712657,0.025231445,"0"
0.12167004,0.94924915,"0"
0.9274504,0,"0"
0.9257481,0,"1"
0.999175,0.81498975,"0"
0.85210276,0.45708618,"0"
0.8592786,0,"0"
0.70454144,0.66193134,"0"
0.35038283,0,"0"
0.57692975,0,"0"
0.99301416,0,"0"
0.5365239,0.17396985,"0"
0.3762325,0,"0"
0.08265384,0.21627526,"0"
0.014234892,0.99652135,"0"
0.7355027,0.7943675,"0"
0.71796614,0,"0"
0.9862118,0.4184204,"0"
0.05488213,0,"0"
0.9940156,0,"0"
0.80826443,0.6072584,"0"
0.46717107,0,"0"
0.7688801,0.8990879,"0"
0.985691,0.48276642,"0"
0.8410961,0.74650425,"0"
0.8404213,0,"0"
0.9878521,0.60553586,"0"
0.8954037,0.7023706,"0"
0.9796674,0,"0"
0.31698248,0.22813512,"0"
0.81158394,0,"0"
0.03719159,0.8136943,"0"
0.29502717,0,"0"
0.95878816,0.14796124,"0"
0.00017340734,0,"0"
0.47573668,0,"0"
0.2899568,0.75422865,"0"
0.22431825,0,"0"
0.9707171,0.27318358,"0"
0.23674238,0.79137784,"0"
0.9706491,0,"0"
0.5808728,0.1796038,"0"
0.08286301,0,"0"
0.78002334,0,"0"
0.80511165,0,"0"
0.8345128,0,"0"
0.9968681,0.9374522,"0"
0.21155554,0.7246792,"0"
0.45550123,0,"0"
0.21220608,0.17548081,"0"
0.051872592,0.7240836,"0"
0.99998474,0.97373295,"0"
0.9999981,0.44642216,"0"
0.0020106654,0,"0"
0.9996555,0.6298914,"0"
0.92670983,0.684134,"0"
0.75863254,0.9993931,"0"
0.9999994,0.6329185,"0"
0.96605855,0,"0"
0.9963212,0,"0"
0.9966101,0,"0"
0.94752914,0.9637687,"0"
