"protein.id","Adrenal","BAT","Brain","Eye","GAT","Heart","Kidney","Liver","Lung","MAT","Muscle","Pancreas","Prostate","SCAT","Skin","Small","Spleen","Stomach","Testis","Thymus","Tongue","Urinary"
"A2A699",515288.3,201686.5,4654492.5,827242.3,300302.2,159772.8,539860.2,184973.2,810742,296832,508210.2,179438.8,587417.5,469102.8,587256.8,191535.5,266685.5,182341,282679.8,190218,768143.2,781783.7
"A2A8L5",1729323.33,546380.75,2780220,2710020,1906277.5,139697.55,4542572.5,4483482.5,2095745,766897.75,73181.97,1487595,2855697.5,549110.5,1276795,2343470,513647.5,1533217.5,907897.75,13891725,880196.5,4324226.67
"A2AF53",103428.3349,184004.5,53906.4742,194414,211352.25,103804.4924,178610.5,145101.25,98396.3,98462.475,82480.3188,112003.2384,169758.75,452.7715,119481.25,184037.5,95165.1899,33940.5381,255950.5,141417.5,77864.7967,47037.2961
"A2AN08",855926,434888.8,923376,1044363.3,728723.5,570255,933854,293379.5,1405112.5,1298292.5,379639,1378985,1066412.5,686200.5,1082945,886451.2,1111723.8,1339195,1889477.5,1201560,1175525,1296006.7
"A2ARI4",1280403.33,422744.25,337655.75,740760.33,1069257.5,177465.75,1290950,1477747.5,71802.73,468568.5,141093.75,514677,457379.5,517413.25,611215.75,1679947.5,297028,1087875,158049.5,548871.5,204755.5,459547.67
"A2RST1",310345,452.7715,452.7715,452.7715,187068.3275,452.7715,452.7715,452.7715,111013.925,244830.718,452.7715,452.7715,452.7715,315901.6479,452.7715,2207827.5,452.7715,2960637.5,452.7715,64163.0816,452.7715,263540.3333
"A6X919",2177996.7,1958342.5,2255835,4214300,1825430,375542.2,610507,4404805,911865.5,3277190,147130.4,2061140,347090.5,2577180,2314697.5,1459372.5,6907180,443296.2,2519380,2725290,721650.5,561407
"A9JSM3",862695.3333,1119050,169379.7369,654009.3333,1439012.5,70663.275,981221.5,1244475,457413,1000669.75,452.7715,6792005,1185190,1127637.75,758672.25,5015550,192523.25,1849020,90460.35,610366.25,178480.3396,2518343.3333
"B1AUH1",1596563.3333,452.7715,911971.5,1094993,452.7715,452.7715,646310.25,452.7715,585746.75,83651.239,273289.75,23069.6073,200626.25,452.7715,161400.6764,131905.2723,411342.25,280008.75,452.7715,385740.6639,452.7715,1442950
"B1AWN4",3783976.0938,671447.0074,452.7715,452.7715,452.7715,991021.8324,271348,452.7715,537998.9735,62014.4484,452.7715,452.7715,155465.75,452.7715,168604.75,1532102.5,452.7715,154033.75,452.7715,79462.1432,452.7715,2082260
"B2RU80",1068993.33,276810.5,65693.75,140378.67,646835,205571.75,730661,1013455,3141852.5,858519.5,75958.52,132376.25,178781,539920.75,524118.25,176714.25,1385280,161863.5,77013.35,152398.75,587331.75,351310
"B2RXV4",361808,167196.25,240733.5,355530,267866,452.7715,981813.5,201994.25,220601.5,353337,83820.05,295390.25,793654.75,433813.75,318018.75,2254250,969332.25,146765,452.7715,1718047.5,250925.5,282121
"B9EJ80",1302206.7,1027006.2,2419870,4565163.3,1090137.5,427813.2,1403280,1052240,1352495,1234545,136711,1997345,303723,1001432.8,367006.2,1482187.5,1855187.5,738267.5,4182615,3498892.5,342515.5,790070
"E9PUL5",81479.8,106687.48,6723117.5,348865,33561,218362.38,47713.95,16622.31,56691.4,30839.45,61056.35,250287.75,177591.25,73083.6,159078.5,75399.07,49355.47,44350.3,53466.8,29980.14,88955.81,56764.17
"E9Q137",7381337,6667258,2675615,7054893,6559932,1083095,8648865,3553655,2365655,4320228,1602835,1489285,2482382,5941045,4222058,7006698,3211328,1877298,3041605,4820575,1115902,3383053
"E9Q9K5",452.7715,1901975,452.7715,702389,247430.8,3760095,452.7715,452.7715,176682,1021412,105304000,603430.5,488083,2246632,9232520,452.7715,514090.6,366675.2,452.7715,181431,7024585,452.7715
"F7BWT7",3350120,1534177.5,993473,1318586.7,1232787.5,354786.4,3153037.5,1197435,3562012.5,1772940,747402.2,1144790,10644275,1823427.5,1747910,13221200,6459312.5,4823005,264944.8,737994.2,919486.2,6844423.3
"G5E829",15829300,5885352,72352175,31343700,23031150,5494278,14995150,4876800,17881500,14326600,4004370,10049845,16563100,19708075,12817625,34884425,15405550,11831875,9089088,23436750,9268435,16239467
"O08530",1377433.33,658472.5,6439930,945383.67,1204990,464273.5,533589.75,1682312.5,8193365,1187682.5,302573.5,1805664.25,404838,1415815,942707.75,313416,1114420,263620,82534.65,648924.75,882390,422904.33
