"Protein1","Protein2"
"P55086","P58196"
"Q8BG55","Q9DCF9"
"P97926","Q7TM99"
"Q8R0T6","Q8K0S5"
"Q60612","Q9EQK7"
"Q9CPV9","Q99P65"
"P33766","Q8BRK9"
"P35363","P70302"
"O35457","Q6TCG8"
"Q04573","Q0GA42"
"P51678","Q9QYM9"
"Q60613","O35372"
"P70263","Q3UHK6"
"Q9R1W5","Q8K4P7"
"P35343","Q9CZB9"
"Q9WUK7","Q8VD31"
"P47750","P97414"
"Q7TQP0","Q3TNW5"
"Q61088","P31809"
"P47750","Q8BH02"
"P97295","Q3TZM9"
"P47743","Q9CR23"
"Q99MT6","Q921I0"
"Q61089","O70281"
"Q99MT6","P56402"
"Q9Z0L1","P01872"
"Q8BLG2","Q6X893"
"Q8VGD6","Q3U2C5"
"Q9R0M1","Q6PDJ1"
"Q91ZB7","Q99KW9"
"Q3UVD5","Q8CC84"
"P34968","Q3U0Y2"
"P51682","Q5U4E0"
"Q8BW93","Q9R049"
"Q9Z0M6","Q9WTL4"
"P47750","Q9JIG8"
"P30730","Q5RL79"
"P41593","Q8BX35"
"P51678","A2RST1"
"P97772","P04231"
"P43117","A2AN08"
"Q8K458","Q9JIS5"
"Q91ZB8","Q8BLU0"
"Q99MT6","Q9WUP4"
"Q80T32","Q99MQ3"
"P56726","Q03146"
"P30993","Q5SZV5"
"Q9ERZ3","Q8BIX9"
"Q5NCH9","Q99PD7"
"P30987","Q8R138"
"Q61091","P04235"
"P47746","Q00560"
"P61793","Q9D7D7"
"Q61090","O35166"
"P51683","Q9D665"
"Q8C419","O54990"
"P51675","Q8BQX5"
"P70205","B2RU80"
"Q5U431","Q9DCZ4"
"Q9Z1P4","Q6NXK8"
"P18762","A9JSM3"
"Q9D8I2","Q8VI59"
"O54689","Q5RJF7"
"P34971","Q91XL3"
"Q04683","Q9QUK6"
"P56485","B2RU80"
"O09047","P31695"
"Q04683","P11911"
"P97468","P17809"
"Q80T32","O88736"
"Q3UVD5","Q9DCZ9"
"Q9R1W5","Q9CQG6"
"Q5NCH9","Q8BQX5"
"Q8BMC0","Q3U1J0"
"P70174","P70669"
"Q8VEW1;Q8VFZ5","Q8CD26"
"Q64326","Q921I0"
"Q99JG2","Q8C4X7"
"Q62463","O88455"
"O08530","O54707"
"Q8BLG2","P54830"
"P30549","Q9EPW9"
"Q68ED2","Q00977"
"Q9EQD0","P56857"
"P30993","Q9WVD4"
"Q62053","P56528"
"O08786","O35074"
"Q9Z1P4","Q9D8K8"
"Q61091","O35516"
"O08786","Q9D958"
"P97772","P03888"
"P48302","Q91V61"
"Q91ZB5","Q8CIA9"
"P97772","P36371"
"P97718","O35714"
"O35659","Q8BI84"
"P56484","Q5RJF7"
"Q80T41","Q60677"
"P56485","P04223"
"Q61089","Q9Z306"
