"protein","entry_name","description","family","expression_tissue","gene_symbol"
"A0A1B0GTQ4","MYMX_HUMAN","Protein myomixer","Other TMPs","Brain\Kidney\Liver\Lung\MAT\Pancreas\Small","MYMX"
"A0AV02","S12A8_HUMAN","Solute carrier family 12 member 8","Transporter","Heart\Pancreas\Small\Stomach","SLC12A8"
"A0AVI4","TM129_HUMAN","E3 ubiquitin-protein ligase TM129","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM129"
"A0FGR8","ESYT2_HUMAN","Extended synaptotagmin-2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ESYT2"
"A0FGR9","ESYT3_HUMAN","Extended synaptotagmin-3","Transporter","Brain\Eye\Lung\Prostate\Skin\Stomach\Testis\Urinary","ESYT3"
"A0PJW6","TM223_HUMAN","Transmembrane protein 223","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM223"
"A0PJX4","SHSA3_HUMAN","Protein shisa-3 homolog","Other TMPs","Adrenal\Brain\Eye\Kidney\Lung\MAT\SCAT\Skin\Small\Spleen\Thymus\Urinary","SHISA3"
"A0PJX8","TMM82_HUMAN","Transmembrane protein 82","Other TMPs","Adrenal\Kidney\Liver\Lung\Small\Spleen\Stomach\Testis\Thymus","TMEM82"
"A0PJZ3","GXLT2_HUMAN","Glucoside xylosyltransferase 2","Other TMPs","Adrenal\BAT\Eye\GAT\MAT\Prostate\SCAT\Skin\Thymus\Tongue\Urinary","GXYLT2"
"A0PK00","T120B_HUMAN","Transmembrane protein 120B","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM120B"
"A0PK05","TMM72_HUMAN","Transmembrane protein 72","Other TMPs","Brain\Eye\Kidney\Muscle","TMEM72"
"A1A5B4","ANO9_HUMAN","Anoctamin-9","Transporter","GAT\Kidney\Lung\Pancreas\Prostate\Skin\Small\Stomach\Urinary","ANO9"
"A1A5C7","S22AN_HUMAN","Solute carrier family 22 member 23","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary","SLC22A23"
"A1L0T0","HACL2_HUMAN","2-hydroxyacyl-CoA lyase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ILVBL"
"A1L157","TSN11_HUMAN","Tetraspanin-11","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Lung\MAT\Prostate\SCAT\Skin\Small\Stomach\Testis\Thymus\Tongue\Urinary","TSPAN11"
"A1L3X0","ELOV7_HUMAN","Very long chain fatty acid elongase 7","Other TMPs","Adrenal\Brain\Eye\Kidney\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary","ELOVL7"
"A2A2Y4","FRMD3_HUMAN","FERM domain-containing protein 3","Other TMPs","Brain\Eye\Spleen","FRMD3"
"A2RU14","TM218_HUMAN","Transmembrane protein 218","Other TMPs","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Testis\Thymus","TMEM218"
"A2RU67","F234B_HUMAN","Protein FAM234B","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FAM234B"
"A2VDJ0","T131L_HUMAN","Transmembrane protein 131-like","Other TMPs","Adrenal\BAT\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus","TMEM131L"
"A5D6W6","FITM1_HUMAN","Fat storage-inducing transmembrane protein 1","Other TMPs","Adrenal\BAT\Eye\Heart\Kidney\Liver\Lung\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FITM1"
"A5PLL7","PEDS1_HUMAN","Plasmanylethanolamine desaturase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PEDS1"
"A6BM72","MEG11_HUMAN","Multiple epidermal growth factor-like domains protein 11","Other TMPs","Brain\Eye\SCAT\Spleen","MEGF11"
"A6NDP7","MADL2_HUMAN","Myeloid-associated differentiation marker-like protein 2","Other TMPs","BAT\Brain\Eye\Heart\Lung\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Tongue","MYADML2"
"A6NFA1","TIKI2_HUMAN","Metalloprotease TIKI2","Other TMPs","GAT\Heart\Kidney\Lung\SCAT","TRABD2B"
"A6NFX1","MFS2B_HUMAN","Sphingosine-1-phosphate transporter MFSD2B","Transporter","Lung\Skin\Spleen","MFSD2B"
"A6NFY4","NEMP2_HUMAN","Nuclear envelope integral membrane protein 2","Other TMPs","Lung\MAT\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","NEMP2"
"A6NGB7","TM221_HUMAN","Transmembrane protein 221","Other TMPs","Adrenal\GAT\Kidney\Lung\Pancreas\Prostate\Spleen\Testis\Thymus\Urinary","TMEM221"
"A6NGC4","TLCD2_HUMAN","TLC domain-containing protein 2","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus","TLCD2"
"A6NKB5","PCX2_HUMAN","Pecanex-like protein 2","Other TMPs","Adrenal\Brain\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus","PCNX2"
"A6NL88","SHSA7_HUMAN","Protein shisa-7 receptor auxiliary subunit Shisa7","Other TMPs","BAT\Brain\Eye","SHISA7"
"A6QL63","ABTB3_HUMAN","Ankyrin repeat- and BTB/POZ domain-containing protein 3","Other TMPs","Adrenal\Brain\Eye\MAT\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABTB3"
"A7MBM2","DISP2_HUMAN","Protein dispatched homolog 2","Other TMPs","Adrenal\Brain\Eye\GAT\Liver\Prostate\Skin\Small\Stomach","DISP2"
"A8MVS5","HIDE1_HUMAN","Protein HIDE1","Other TMPs","Adrenal\BAT\GAT\Heart\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Thymus\Urinary","HIDE1"
"A8MVW0","F1712_HUMAN","Protein FAM171A2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FAM171A2"
"A8MVW5","HECA2_HUMAN","HEPACAM family member 2","Other TMPs","MAT\Small\Spleen\Thymus","HEPACAM2"
"A8MWY0","ELAP2_HUMAN","Endosome/lysosome-associated apoptosis and autophagy regulator family member 2","Other TMPs","Adrenal\Brain\Eye\Liver\Lung\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","ELAPOR2"
"A8MXK1","VSTM5_HUMAN","V-set and transmembrane domain-containing protein 5","Other TMPs","Kidney\Prostate\Small\Stomach\Testis\Urinary","VSTM5"
"B2RTY4","MYO9A_HUMAN","Unconventional myosin-IXa","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Urinary","MYO9A"
"B2RUZ4","SMIM1_HUMAN","Small integral membrane protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","SMIM1"
"B3SHH9","TM114_HUMAN","Transmembrane protein 114","Other TMPs","BAT\GAT\Heart\Lung\Muscle\Skin\Spleen\Testis","TMEM114"
"B9EJG8","T150C_HUMAN","Transmembrane protein 150C","Other TMPs","Brain\Eye\GAT\Lung\MAT\Prostate\Skin\Testis\Thymus\Tongue\Urinary","TMEM150C"
"C9JH25","PRRT4_HUMAN","Proline-rich transmembrane protein 4","Other TMPs","Adrenal\Brain\Eye\GAT\Lung\MAT\SCAT\Skin\Spleen\Testis\Tongue\Urinary","PRRT4"
"O00144","FZD9_HUMAN","Frizzled-9","GPCR","Brain\Skin\Small\Testis","FZD9"
"O00168","PLM_HUMAN","Phospholemman","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FXYD1"
"O00180","KCNK1_HUMAN","Potassium channel subfamily K member 1","Ion-channels","Adrenal\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","KCNK1"
"O00206","TLR4_HUMAN","Toll-like receptor 4","Catalytic receptors","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TLR4"
"O00222","GRM8_HUMAN","Metabotropic glutamate receptor 8","GPCR","Adrenal\Brain\Eye\Kidney\Liver\Prostate\SCAT\Skin\Small\Testis\Thymus\Urinary","GRM8"
"O00237","RN103_HUMAN","E3 ubiquitin-protein ligase RNF103","Other TMPs","Adrenal\Liver\Lung\Prostate\Thymus","RNF103"
"O00238","BMR1B_HUMAN","Bone morphogenetic protein receptor type-1B","Catalytic receptors","Brain\Eye\GAT\Lung\MAT\Pancreas\Prostate\Stomach\Urinary","BMPR1B"
"O00254","PAR3_HUMAN","Proteinase-activated receptor 3","GPCR","Adrenal\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary","F2RL2"
"O00258","GET1_HUMAN","Guided entry of tail-anchored proteins factor 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GET1"
"O00264","PGRC1_HUMAN","Membrane-associated progesterone receptor component 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PGRMC1"
"O00299","CLIC1_HUMAN","Chloride intracellular channel protein 1","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CLIC1"
"O00322","UPK1A_HUMAN","Uroplakin-1a","Other TMPs","Adrenal\Eye\GAT\Kidney\Liver\Lung\MAT\Prostate\Thymus\Urinary","UPK1A"
"O00391","QSOX1_HUMAN","Sulfhydryl oxidase 1","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","QSOX1"
"O00398","P2Y10_HUMAN","Putative P2Y purinoceptor 10","GPCR","Adrenal\Lung\MAT\SCAT\Skin\Small\Spleen\Thymus","P2RY10"
"O00400","ACATN_HUMAN","Acetyl-coenzyme A transporter 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC33A1"
"O00445","SYT5_HUMAN","Synaptotagmin-5","Other TMPs","Adrenal\BAT\Brain\Eye\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Small\Spleen\Stomach\Testis\Urinary","SYT5"
"O00461","GOLI4_HUMAN","Golgi integral membrane protein 4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GOLIM4"
"O00468","AGRIN_HUMAN","Agrin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","AGRN"
"O00483","NDUA4_HUMAN","Cytochrome c oxidase subunit NDUFA4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDUFA4"
"O00501","CLD5_HUMAN","Claudin-5","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CLDN5"
"O00519","FAAH1_HUMAN","Fatty-acid amide hydrolase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","FAAH"
"O00533","NCHL1_HUMAN","Neural cell adhesion molecule L1-like protein","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CHL1"
"O00548","DLL1_HUMAN","Delta-like protein 1","Other TMPs","Lung\Small\Spleen\Thymus","DLL1"
"O00555","CAC1A_HUMAN","Voltage-dependent P/Q-type calcium channel subunit alpha-1A","Ion-channels","Brain\Eye\SCAT","CACNA1A"
"O00559","RCAS1_HUMAN","Receptor-binding cancer antigen expressed on SiSo cells","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","EBAG9"
"O00574","CXCR6_HUMAN","C-X-C chemokine receptor type 6","GPCR","MAT\SCAT\Spleen","CXCR6"
"O00587","MFNG_HUMAN","Beta-1,3-N-acetylglucosaminyltransferase manic fringe","Other TMPs","Adrenal\GAT\Kidney\MAT\SCAT\Spleen","MFNG"
"O00590","ACKR2_HUMAN","Atypical chemokine receptor 2","GPCR","GAT\Lung\MAT\SCAT\Skin\Spleen","ACKR2"
"O00623","PEX12_HUMAN","Peroxisome assembly protein 12","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PEX12"
"O14494","PLPP1_HUMAN","Phospholipid phosphatase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PLPP1"
"O14495","PLPP3_HUMAN","Phospholipid phosphatase 3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PLPP3"
"O14521","DHSD_HUMAN","Succinate dehydrogenase cytochrome b small subunit, mitochondrial","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SDHD"
"O14522","PTPRT_HUMAN","Receptor-type tyrosine-protein phosphatase T","Catalytic receptors","Brain\Eye\Small\Spleen","PTPRT"
"O14523","C2C2L_HUMAN","Phospholipid transfer protein C2CD2L","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","C2CD2L"
"O14524","NEMP1_HUMAN","Nuclear envelope integral membrane protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NEMP1"
"O14525","ASTN1_HUMAN","Astrotactin-1","Other TMPs","Adrenal\Brain\Eye\MAT\Skin\Spleen\Stomach","ASTN1"
"O14569","C56D2_HUMAN","Transmembrane reductase CYB561D2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CYB561D2"
"O14626","GP171_HUMAN","G-protein coupled receptor 171","GPCR","Lung\MAT\SCAT\Skin\Small\Spleen\Thymus","GPR171"
"O14638","ENPP3_HUMAN","Ectonucleotide pyrophosphatase/phosphodiesterase family member 3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ENPP3"
"O14649","KCNK3_HUMAN","Potassium channel subfamily K member 3 channel 1 channel KT3.1","Ion-channels","Adrenal\BAT\Brain\Eye\Heart\Lung\Prostate\SCAT\Thymus\Urinary","KCNK3"
"O14653","GOSR2_HUMAN","Golgi SNAP receptor complex member 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GOSR2"
"O14662","STX16_HUMAN","Syntaxin-16","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","STX16"
"O14672","ADA10_HUMAN","Disintegrin and metalloproteinase domain-containing protein 10","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ADAM10"
"O14678","ABCD4_HUMAN","Lysosomal cobalamin transporter ABCD4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABCD4"
"O14681","EI24_HUMAN","Etoposide-induced protein 2.4 homolog","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","EI24"
"O14683","P5I11_HUMAN","Tumor protein p53-inducible protein 11","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TP53I11"
"O14684","PTGES_HUMAN","Prostaglandin E synthase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PTGES"
"O14735","CDIPT_HUMAN","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CDIPT"
"O14764","GBRD_HUMAN","Gamma-aminobutyric acid receptor subunit delta receptor subunit delta","Ion-channels","Brain\Eye\Kidney","GABRD"
"O14786","NRP1_HUMAN","Neuropilin-1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NRP1"
"O14788","TNF11_HUMAN","Tumor necrosis factor ligand superfamily member 11","Other TMPs","MAT\SCAT\Spleen\Thymus","TNFSF11"
"O14817","TSN4_HUMAN","Tetraspanin-4","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TSPAN4"
"O14828","SCAM3_HUMAN","Secretory carrier-associated membrane protein 3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SCAMP3"
"O14863","ZNT4_HUMAN","Probable proton-coupled zinc antiporter SLC30A4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","SLC30A4"
"O14880","MGST3_HUMAN","Glutathione S-transferase 3, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MGST3"
"O14949","QCR8_HUMAN","Cytochrome b-c1 complex subunit 8","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","UQCRQ"
"O14957","QCR10_HUMAN","Cytochrome b-c1 complex subunit 10","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","UQCR11"
"O14967","CLGN_HUMAN","Calmegin","Other TMPs","Adrenal\Brain\Eye\GAT\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue","CLGN"
