"protein","entry_name","description","family","gene_symbol","expression_tissue"
"A0A0B4J2F0","PIOS1_HUMAN","Protein PIGBOS1","Other TMPs","PIGBOS1",""
"A0A0K2S4Q6","CD3CH_HUMAN","Protein CD300H","Other TMPs","CD300H",""
"A0A0U1RQS6","TM275_HUMAN","Transmembrane protein 275","Other TMPs","TMEM275","brain"
"A0A1B0GTQ4","MYMX_HUMAN","Protein myomixer","Other TMPs","MYMX","Kidney\SmallIntestine"
"A0A1B0GV90","CTXD2_HUMAN","Cortexin domain containing 2","Other TMPs","CTXND2","testis"
"A0A1B0GWG4","SRTM2_HUMAN","Serine-rich and transmembrane domain-containing 2","Other TMPs","SERTM2","eye\testis"
"A0A6I8PU40","TUG1_HUMAN","Taurine up-regulated 1 protein","Other TMPs","TUG1",""
"A0AV02","S12A8_HUMAN","Solute carrier family 12 member 8","Transporter","SLC12A8","Kidney\Pancreas\SmallIntestine\Stomach"
"A0AVI4","TM129_HUMAN","E3 ubiquitin-protein ligase TM129","Other TMPs","TMEM129","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A0FGR8","ESYT2_HUMAN","Extended synaptotagmin-2","Transporter","ESYT2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A0FGR9","ESYT3_HUMAN","Extended synaptotagmin-3","Transporter","ESYT3","brain\eye\lung\MAT\prostate\skin\Stomach\testis\Ub"
"A0PJW6","TM223_HUMAN","Transmembrane protein 223","Other TMPs","TMEM223","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"A0PJX4","SHSA3_HUMAN","Protein shisa-3 homolog","Other TMPs","SHISA3","Ad\brain\Kidney\lung\MAT\SCAT\SmallIntestine\Spleen\thymus"
"A0PJX8","TMM82_HUMAN","Transmembrane protein 82","Other TMPs","TMEM82","Ad\Kidney\liver\prostate\SmallIntestine\testis"
"A0PJZ3","GXLT2_HUMAN","Glucoside xylosyltransferase 2","Other TMPs","GXYLT2","GAT\heart\MAT\prostate\SCAT\skin\thymus\tongue"
"A0PK00","T120B_HUMAN","Transmembrane protein 120B","Other TMPs","TMEM120B","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A0PK05","TMM72_HUMAN","Transmembrane protein 72","Other TMPs","TMEM72","brain\eye\Kidney"
"A0PK11","CLRN2_HUMAN","Clarin-2","Other TMPs","CLRN2",""
"A1A5B4","ANO9_HUMAN","Anoctamin-9","Transporter","ANO9","GAT\Kidney\lung\Pancreas\prostate\skin\SmallIntestine\Stomach\Ub"
