"protein.id.A","protein.id.B"
"P26651","Q9H4I3"
"Q86VP1","P49642"
"Q9NPI1","P56134"
"Q96C92","Q9Y606"
"Q86VI3","P82909"
"Q96RP9","Q9H9Y2"
"Q53GS7","Q8NBJ5"
"Q96EL2","Q9NRL2"
"Q13049","Q9H7E9"
"Q07157","O15530"
"Q9BQE5","Q96QU8"
"O60256","P30511"
"Q8TDY2","Q12913"
"O75251","Q03519"
"Q92925","Q9H361"
"Q5JTH9","Q08188"
"Q14240","Q9NPG2"
"Q8IXB1","Q92913"
"Q13033","Q9H425"
"Q9UBS0","Q9UI14"
"Q8IXI1","Q96BK5"
"Q9NV96","Q5MJ10"
"P04843","Q5JTW2"
"O00154","P07954"
"P08754","Q6KC79"
"O95347","Q14527"
"Q92754","Q12983"
"Q562R1","Q9Y281"
"Q9NUG6","Q96CM8"
"Q9H204","Q8N960"
"Q9BW61","Q8N386"
"Q96AE7","Q9BSK4"
"Q8NBQ5","Q9UBX5"
"P13797","Q9Y4K4"
"Q99873","Q9P2W7"
"Q9H7B2","Q9HAH7"
"Q14161","Q8WU90"
"P63241","Q6P1K2"
"P84103","Q6P1J9"
"Q5VWP2","Q9Y3X0"
"Q6P1X5","Q6GQQ9"
"Q9Y297","P11362"
"O15173","Q12834"
"Q9Y6M7","O43719"
"Q8WTT2","Q99590"
"Q92572","Q13113"
"P09601","Q96HE9"
"P21730","Q96NL1"
"Q96C36","Q9BQB6"
"Q96GC5","P25942"
"B1AK88","Q9HBX9"
"Q96T52","Q13887"
"Q13191","Q66K74"
"P27482","Q9BZW7"
"P49406","Q9UK73"
"Q92730","O75832"
"P68400","Q8WXX5"
"Q96S55","Q9BZ76"
"Q8NFC6","O95297"
"Q9UL40","O14543"
"Q02539","Q01974"
"Q9NQG5","A2RRP1"
"P29508","Q04727"
"O14787","Q9C0E2"
"O94766","Q5QGT7"
"P21673","P13798"
"Q15369","Q9NZQ3"
"O75446","Q9H1R3"
"P45974","A0A0B4J2C3"
"Q4V328","O75449"
"Q92974","Q9ULH0"
"Q9NWU2","Q9UGL1"
"Q9H0D6","Q9ULJ7"
"P09651","O15516"
"O75380","P40937"
"Q96CP6","Q9NUL5"
"Q99877","P28562"
"P04844","Q9H2U1"
"Q6P1N0","O43609"
"Q5JTZ9","P00403"
"P61764","Q5MJ10"
"P61081","Q8NHQ8"
"Q6PD62","O75943"
"P30101","P39060"
"Q8NCK7","Q3V5L5"
"Q7Z4Q2","Q8IWT6"
"Q5VWP2","Q96JJ7"
"P29972","Q96BK5"
"Q99081","O75330"
"P05387","P33316"
"P42771","Q96BR5"
"Q9NZQ7","Q8WTR2"
"P61088","Q9GZU8"
"O15212","Q96AK3"
"P15531","Q05925"
"P83876","Q6YHK3"
"Q9UHY1","O14576"
"Q86XL3","P62308"
"P60842","Q13443"
"Q9H3G5","Q08426"
"Q86UE4","Q969Q1"
"P04264","Q9Y2T2"
"O43920","Q6NTF9"
"Q9GZS1","Q9UIG0"
"Q6UXG8","P02788"
"O76064","Q9ULD4"
"P17844","Q8TCU4"
"P82909","Q8IXH7"
"P55036","P55854"
"Q9BWJ5","Q14525"
"P35579","Q9BWW4"
"Q96S52","O15516"
"Q9Y5S9","P31939"
"P47974","Q9H0X4"
"Q9NXE4","Q96KS9"
"P42858","P41212"
"Q16594","A0AAG2SVT6"
"P18146","Q9H871"
"Q9NR28","Q16851"
"P13797","P30279"
"Q14164","P30038"
"Q15427","Q8TDX7"
"Q15717","O14828"
"Q93079","Q9UII4"
"Q92538","O95600"
"P82650","Q9Y4P3"
"P37108","Q9Y3P9"
"P27361","Q02156"
"Q9GZR7","Q07864"
"P10147","Q6NYC8"
"P05109","Q8IYU8"
"P68363","Q9NXU5"
"O95985","P19784"
"P50750","Q99933"
"Q96AX1","O75175"
"P49761","Q8N8L6"
"P15976","Q9BRK5"
"Q8N4H5","Q96CN9"
"Q9Y371","Q9P2R7"
"Q13233","Q3LI66"
"P10809","Q9Y5X3"
"Q15646","O95861"
"Q15293","Q9UGC7"
"Q13228","Q8IX03"
"Q00987","Q00577"
"Q9Y666","P02671"
"P05556","Q01581"
"P29084","P0CG37"
"Q96PU4","A8CG34"
"P13797","Q13948"
"P62937","P15260"
"Q6NYC1","Q9Y2X9"
"P62805","Q92838"
"P12755","P49917"
"O95994","Q9UP95"
"P82673","Q96L11"
"Q9H6S0","Q9Y385"
"Q9Y4W6","O00541"
"P10242","O95872"
"P09132","Q8IXB3"
"Q08257","P60201"
"Q92615","Q5VT25"
"P39656","O00442"
"Q99959","Q00577"
"Q93034","P84022"
"P18615","P43250"
"Q9UBS4","Q9UKE5"
"Q8TF76","P04440"
"Q9BVA1","Q96S55"
"Q676U5","Q9NUQ8"
"P53990","Q02818"
"P45983","Q9UEW8"
"Q5J8M3","Q86TG7"
"Q2M329","Q8IYD1"
"Q9UN86","O75170"
"Q86VR2","Q5T2T1"
"P11532","P00414"
"P45880","Q9Y696"
"P28072","Q9BTC8"
"P31947","Q9H074"
"Q16531","Q02818"
"Q8IUR7","Q99871"
"Q96AP4","Q15596"
"P23528","O95999"
"Q86X19","P07384"
"Q9GZT6","P53990"
"Q969Q0","Q5TD97"
"A0FGR8","O60664"
"P61236","Q9Y448"
"O43763","P98194"
"Q8N884","Q99640"
"Q5T5X7","Q96KA5"
"Q13627","Q15126"
"Q9H967","Q969P5"
"Q13296","Q8TBC3"
"O75716","Q8N3F8"
"Q16204","Q8WUX9"
"Q8TEQ6","Q02218"
"Q8WVM0","P02671"
"P82650","O14617"
"P36957","Q15836"
"Q9HBE1","P01127"
"Q9BXB1","O60291"
"Q15118","Q13356"
"Q9BXW9","Q15382"
"Q68D10","P51684"
"O43674","Q96C00"
"P00395","P06737"
"Q96AJ1","P48426"
"Q8N983","Q6AZZ1"
"P25788","Q15155"
"P78317","Q9UHR6"
"Q8IXB1","Q7Z6E9"
"O43379","Q9UQ90"
"Q08426","P61769"
"P36873","Q17RB8"
"Q15942","P52333"
"P36873","Q15038"
"P20618","Q9P287"
"Q9P2F8","Q9HBM6"
"Q9BZK7","Q06455"
"Q96CW5","Q9BYQ4"
"Q9BUF5","O60942"
"Q9BU76","P30556"
"Q9H492","P01024"
"Q6P3W7","Q9H2D6"
"Q9NRC1","Q15165"
"P62942","Q9ULA0"
"Q15025","Q8IWV7"
"O95786","O75122"
"Q6A162","O94903"
"Q9UKJ3","Q66K89"
"Q01831","Q8NFG4"
"Q9Y4X4","Q9UQR0"
"P18077","Q96PZ0"
"Q8NHQ1","Q9UPQ3"
"P55196","Q96JN8"
"P37275","Q6P1K2"
"Q15006","O75558"
"Q92890","O43909"
"P13569","Q9Y6E2"
"Q5S007","Q86WB0"
"O00763","P40306"
"P19367","A8MXV4"
"Q9H4G0","P28838"
"Q13409","P60006"
"Q04725","Q5QP82"
"Q9H257","Q16513"
"Q9UJY1","Q68CZ6"
"P07550","Q9BZR8"
"Q92914","Q9Y4L5"
"P0DPI2","Q9HCS5"
"Q02410","Q5VU69"
"P60369","O15417"
"O75832","P98164"
"Q07065","O75943"
"Q12824","Q04695"
"Q16658","P20929"
"Q2NL82","Q12768"
"Q9P0K7","P55085"
"P51965","Q9NZ32"
"Q9Y5A9","Q16795"
"Q16576","P61326"
"Q9UIV1","Q9NUP9"
"P62269","P12644"
"Q15742","Q9P127"
"Q1KMD3","P61968"
"P04843","P17812"
"P02675","P11047"
"Q8NEJ9","Q9Y6N5"
"P43490","Q8NI35"
"Q6IN85","P82909"
"Q6NZI2","Q9Y3B4"
"Q9UNS2","P50548"
"O00170","Q5TKA1"
"P17096","P26715"
"F7VJQ1","Q9BY32"
"O14818","P57052"
"O14579","Q5VWX1"
"B7Z6D5","Q8NFF5"
"Q8TCC3","Q92882"
"Q96D09","Q9P127"
"Q8IYI6","Q96KG9"
"O00571","Q9UNF0"
"O00560","Q8TD31"
"Q12797","O15357"
"Q9Y3U8","Q92611"
"P19397","Q9NSC2"
"O14867","P35573"
"O00425","Q9NX05"
"P14923","Q9NQC3"
"Q8WUA4","Q9C026"
"P00403","Q9UI47"
"Q9BWU0","P31323"
"Q9H3P7","P35228"
"Q9Y6M9","A0A0B4J2C3"
"O00203","Q4V328"
"Q7Z6Z7","Q8IYA8"
"P11388","Q13191"
"Q9NZ52","Q9UEW8"
"Q92731","Q9HCM9"
"Q9UIQ6","Q9UNL4"
"P68133","Q9BVJ6"
"P17931","P28562"
"P27105","O95905"
"P01023","Q6ZT12"
"Q5VV42","Q86X29"
"Q2TBE0","Q96RQ3"
"P46779","Q9Y4W2"
"Q14566","P52565"
"Q9UHP7","Q8TDR0"
"Q9UGI0","Q9Y2I2"
"P61201","Q9NX04"
"P40763","Q96NC0"
"Q9NZT1","P53004"
"Q92797","Q96MX6"
"P98170","Q13423"
"Q96HY6","Q9Y2I2"
"Q14232","Q9NPQ8"
"P24386","Q92817"
"P34932","Q6PJG6"
"Q08AM6","Q86UW6"
"P04843","Q9BYJ9"
"P62318","Q9H8X2"
"Q96DF8","P21453"
"P62937","Q8IVS2"
"Q08AM6","P09669"
"Q99569","Q15628"
"Q96ED9","Q9BQS8"
"P61236","P56270"
"Q15560","Q08043"
"P54257","Q6P3X3"
"Q96FI4","P61009"
"P04179","Q01658"
"Q15293","P49902"
"O15213","Q5TCX8"
"Q96GF1","P51003"
"P28072","P51153"
"Q9NZN8","Q10471"
"Q9H3S7","Q9HCU4"
"Q12824","Q8WUK0"
"O43264","Q14191"
"P25205","P21580"
"Q8N3C0","Q9BVN2"
"Q92841","Q9Y2Q3"
"Q9UBT2","Q92934"
"Q14BN4","Q05925"
"P28066","Q8IXI1"
"P05556","Q8IWF2"
"P36873","Q9Y4C8"
"Q07666","P18850"
"Q96BY9","Q9UJA5"
"Q5VT06","Q8WYR4"
"Q00653","Q6P1X5"
"Q8TED1","O43813"
"O60869","Q01433"
"P23497","Q14696"
"Q659C4","Q7L2Z9"
"Q96DT7","Q01970"
"A5A3E0","Q99798"
"P19784","Q86VU5"
"Q96L12","Q9P1Y5"
"P41252","Q96KQ7"
"P55265","O75586"
"Q9UFB7","Q9P0U4"
"P46939","Q10471"
"O60884","P16455"
"P21860","Q53HL2"
"Q9H813","Q8NFG4"
"P23258","Q13393"
"Q8N0U8","Q9NYL2"
"Q96IZ0","P36639"
"Q9NP73","Q99426"
"P53999","Q14997"
"O95816","Q9H9T3"
"P05412","Q6UVJ0"
"P11308","Q15349"
"Q16825","O76041"
"O75153","P51798"
"P05089","O94964"
"Q9BSC4","P52756"
"Q14157","O00762"
"P54760","P02671"
"O96013","Q15424"
"P17096","Q96QE5"
"P21281","Q9Y4C4"
"Q9H074","Q9HC29"
"P00558","P48645"
"Q06787","Q8WXE9"
"Q8TAF3","Q13613"
"Q9H3D4","Q9UJF2"
"O43303","Q8IYU8"
"Q13304","Q5JTY5"
"O15372","O15350"
"Q8TBK6","Q5T7P2"
"Q9UH99","Q9BVA0"
"O75044","Q14012"
"O43290","Q9NXU5"
"P25445","P35609"
"Q13794","Q8TBF4"
"Q16650","P00540"
"Q58WW2","Q8IWC1"
"P30154","O75528"
"P51572","O60488"
"Q9BYD6","Q9UEY8"
"Q9Y6Y8","A6NHR9"
"O43852","O75083"
"Q92574","Q96PY5"
"Q9BX63","Q9C0B1"
"O43186","P09884"
"Q99932","P55083"
"P49368","Q03701"
"Q15025","P56556"
"Q15560","A8K2U0"
"Q86UW9","P57055"
"P56192","O75379"
"Q8N9N8","Q9Y4E5"
"Q9BTE6","Q9H8H0"
"P48730","P24158"
"P11498","P0C7X2"
"P51148","P62306"
"Q6P3S6","Q04725"
"Q92504","Q92889"
"P83111","Q9HC07"
"Q9Y2X0","P11712"
"Q96GM5","Q9H7N4"
"P02533","Q96Q15"
"P26371","O43653"
"O15446","P42224"
"P54257","Q13268"
"O15259","Q5VV41"
"Q96QE5","P23193"
"Q96ME7","Q12913"
"P04844","Q9Y3D3"
"Q5JTV8","Q96I51"
"P43405","P38117"
"Q9Y294","Q86WV1"
"P13639","P37268"
"O14979","Q86UK7"
"P60409","Q9UHL9"
"Q14318","Q969Q0"
"P50750","A0A1W2PQS6"
"P27361","P05166"
"Q7Z7K6","P17787"
"Q9BV38","Q01344"
"Q6UB35","P20719"
"P84022","O60502"
"Q15003","O14746"
"O43615","Q15014"
"Q12769","Q9H204"
"Q9H5X1","Q8NEY1"
"P52701","Q5HYJ3"
"Q9H4M7","Q9UNK0"
"P41212","Q86YM7"
"Q8IYU8","Q9BWH2"
"Q9BTX1","P41223"
"Q9HC77","Q96RR1"
"P12830","Q13085"
"Q9Y5W5","Q9BZW7"
"Q9BVC4","P34896"
"O43776","Q9H596"
"Q8TEK3","Q96QE5"
"O00268","Q9BT67"
"P42166","Q0VG06"
"Q9C0B0","Q9UPT5"
"Q13469","Q9H0B6"
"P42768","P48023"
"P25786","Q9H7F0"
"Q9Y3C5","P62875"
"Q99733","P28749"
"P01375","Q8TEW0"
"Q96FF9","O15287"
"P62820","O14787"
"A0A804CL36","P78423"
"P61006","Q9BT09"
"E9PB61","Q53GS9"
"O43390","Q96QE5"
"Q15019","Q8WTV0"
"Q6PIJ6","P11310"
"Q9Y2H6","Q9NTZ6"
"Q71RC2","Q9HBW0"
"Q9UNK0","Q5VV17"
"O95239","Q9Y314"
"Q07065","Q9H3P2"
"P42224","Q6AW86"
"Q9BYN8","Q5VTR2"
"O75925","Q96H86"
"O43592","O75935"
"Q969N2","Q8NFF5"
"Q71UM5","Q6XZF7"
"Q92615","Q53EL6"
"Q9UHV7","Q9Y6X2"
"P63167","P49588"
"P32969","P0C7T5"
"Q9Y266","Q07820"
"P23588","Q3KNV8"
"Q03135","P10075"
"Q9BTW9","Q9H2J4"
"Q15843","O75477"
"Q96CF2","Q9H0H0"
"P30566","P30556"
"P46109","O14656"
"Q5RKV6","Q96NT3"
"Q9Y297","Q15633"
"P50458","Q9NP97"
"P12277","P12757"
"P0CG47","Q8IWZ8"
"P46063","P50995"
"Q8NBQ5","Q9P286"
"P61254","Q8NI36"
"Q9UBB4","P52306"
"Q8NI27","Q15528"
"P34925","O14519"
"Q14781","P49184"
"P53701","P20671"
"O14744","Q6IQ21"
"Q9BSL1","P17482"
"Q04206","Q96A65"
"Q99581","Q14191"
"P62753","Q8IWV7"
"Q8N1B4","P14316"
"Q9NX63","Q9Y6W5"
"Q9BT78","Q5TCZ1"
"Q86V81","Q92569"
"Q8N144","Q9H165"
"Q9Y639","Q86Y82"
"P25705","P36954"
"Q8NAV1","P27144"
"Q9NP66","Q9Y6A5"
"P20719","O95999"
"Q96ST3","Q0VDF9"
"Q92990","O60287"
"Q9Y3E5","P40616"
"P81605","Q96F44"
"Q9BQ75","Q99536"
"O00182","O75251"
"P48023","Q96KP1"
"Q9Y4A5","Q9H5N1"
"E9PB61","O95352"
"Q9BYF1","Q6P4R8"
"P33527","P51159"
"Q96H55","Q96CB8"
"P49768","Q16790"
"Q6S8J3","O00716"
"Q96AX1","Q15181"
"O00233","P52926"
"P00966","Q5VWQ0"
"Q15007","Q9Y217"
"P25445","Q99590"
"P0DP91","Q9HAU5"
"P53618","P49917"
"Q9BQ04","Q9H147"
"Q8TES7","P24468"
"Q15118","Q01469"
"Q8NI27","Q7Z7A1"
"P02794","O43909"
"Q9BYD2","Q96GQ5"
"P01137","Q01804"
"Q9UBE0","Q9NW97"
"Q14416","Q9BYD1"
"Q5SW79","Q5TD97"
"Q9H3P7","Q9UBQ0"
"Q9BTX1","O60909"
"P15923","P09471"
"Q9Y2I2","P14616"
"Q9H257","Q9GZZ9"
"P05455","Q8NEV1"
"P06400","Q8IUH5"
"P54646","Q9BUE6"
"Q00610","Q7L590"
"Q8IWC1","Q93045"
"Q9H3G5","Q96HE7"
"P62745","P18077"
"Q13601","Q2M2I8"
"P51451","Q9BYW2"
"P46782","Q9NZB2"
"P05787","Q86YS7"
"P68032","Q9Y2Q5"
"Q9Y2K1","Q9H8E8"
"P61160","Q15424"
"O00212","P12109"
"O43169","Q9Y3C1"
"P62330","P52565"
"P49792","O00220"
"Q6NZI2","Q9Y4J8"
"Q9UEY8","Q9BT25"
"Q8WWQ0","O43829"
"Q9NRL2","Q8TBC3"
"Q8NI36","P10620"
"P36776","Q99757"
"Q6IQ21","Q92784"
"Q96EV8","Q5VZ89"
"Q8WYQ5","O43670"
"Q99598","Q38SD2"
"Q9Y333","P35052"
"O43933","O43156"
"P14316","P80303"
"Q13405","P51805"
"O43597","P07307"
"P50454","O43597"
"P40337","Q9BYV2"
"Q86VM9","O14978"
"O15514","O00322"
"Q8NHY2","Q9BW19"
"P16435","Q9Y2X0"
"Q92804","P57053"
"Q9NYY8","J3KQN4"
"Q14416","O14929"
"P61073","P12273"
"P17844","Q92797"
"Q15020","O43164"
"P35226","Q8N0V3"
"Q06830","P02741"
"P35908","Q9NRW4"
"P50454","Q15047"
"Q86VZ1","Q9NV70"
"O75323","Q9NRW3"
"Q9BTE6","Q96QT6"
"Q5SNT2","Q8WWK9"
"P10398","Q8IX03"
"Q01974","Q9BW27"
"P53367","Q13416"
"Q96RQ1","Q99683"
"Q01813","Q9UBX5"
"Q9Y3B9","P09769"
"Q9BZE1","Q8WYR4"
"Q8NCA5","Q9P2K6"
"Q86VZ1","P49137"
"O00167","Q9HAH7"
"Q8N661","Q8NB90"
"Q17RB8","Q9H081"
"P61024","Q96J01"
"P08047","Q2HXU8"
"P04083","Q9C005"
"Q92796","P14406"
"Q8IXM3","Q7Z5L9"
"Q9HD20","H7C2Q8"
"P54764","P21964"
"Q5T6F2","Q00587"
"Q96GX1","O60508"
"Q9UM11","Q5VWP2"
"Q9ULV4","Q9H2R5"
"P22830","P21246"
