protein.id.A	protein.id.B	pair
Q9Y5Y0	O15244	O15244_Q9Y5Y0
P49768	P48960	P48960_P49768
Q9NZ43	P51572	P51572_Q9NZ43
P00533	O14493	O14493_P00533
Q53GQ0	P04626	P04626_Q53GQ0
Q9P246	Q96AG4	Q96AG4_Q9P246
Q9UBY5	Q96HV5	Q96HV5_Q9UBY5
Q8WXI8	Q8IZA0	Q8IZA0_Q8WXI8
Q9Y666	Q03431	Q03431_Q9Y666
Q8N661	P07204	P07204_Q8N661
Q92667	P05023	P05023_Q92667
P63027	O43493	O43493_P63027
Q01113	P98153	P98153_Q01113
Q8TEB9	O95573	O95573_Q8TEB9
Q9UHW9	Q9P2E8	Q9P2E8_Q9UHW9
Q9UQV4	C9JH25	C9JH25_Q9UQV4
P43308	P13637	P13637_P43308
P17693	P17693	P17693_P17693
Q9Y6D0	Q5JX71	Q5JX71_Q9Y6D0
P54707	P30989	P30989_P54707
Q96BY9	P01911	P01911_Q96BY9
Q86UF1	Q08345	Q08345_Q86UF1
P27449	P14416	P14416_P27449
Q8TCQ1	Q04721	Q04721_Q8TCQ1
Q9H4I9	Q15116	Q15116_Q9H4I9
Q9GZY8	Q8IXB3	Q8IXB3_Q9GZY8
Q9UG56	O60896	O60896_Q9UG56
Q71H61	Q53GQ0	Q53GQ0_Q71H61
Q9Y6Q6	P60468	P60468_Q9Y6Q6
Q5BJD5	Q00325	Q00325_Q5BJD5
Q9BUB7	Q13423	Q13423_Q9BUB7
Q8IV08	F5H1C8	F5H1C8_Q8IV08
Q9H5K3	Q99679	Q99679_Q9H5K3
Q16832	P04629	P04629_Q16832
Q9HAW7	P01920	P01920_Q9HAW7
Q9BXS4	P41273	P41273_Q9BXS4
Q8N5G0	Q15303	Q15303_Q8N5G0
Q9UDW1	O43657	O43657_Q9UDW1
Q9UG56	Q8IVM8	Q8IVM8_Q9UG56
Q15738	P04843	P04843_Q15738
Q7Z4F1	P29275	P29275_Q7Z4F1
Q13571	P05023	P05023_Q13571
O95471	O15155	O15155_O95471
O15162	O00587	O00587_O15162
O75915	O14894	O14894_O75915
Q15125	P41587	P41587_Q15125
Q8TCZ2	P04626	P04626_Q8TCZ2
Q13586	Q07065	Q07065_Q13586
Q15363	Q12907	Q12907_Q15363
Q9Y6M5	Q86SR1	Q86SR1_Q9Y6M5
Q9P003	O00155	O00155_Q9P003
P41587	P04035	P04035_P41587
Q86XX4	P35613	P35613_Q86XX4
Q9Y5H3	Q9Y5G6	Q9Y5G6_Q9Y5H3
P18084	O15466	O15466_P18084
Q9GZR5	P60201	P60201_Q9GZR5
Q9UIR0	Q13308	Q13308_Q9UIR0
Q9NRC1	Q5JTV8	Q5JTV8_Q9NRC1
