"protein.id.A","protein.id.B","pair"
"P02724","Q8N661","P02724_Q8N661"
"O75880","O14746","O14746_O75880"
"Q86X29","Q9H0C8","Q86X29_Q9H0C8"
"Q9Y320","Q9H0B6","Q9H0B6_Q9Y320"
"Q13520","Q13057","Q13057_Q13520"
"O00299","Q96IZ0","O00299_Q96IZ0"
"Q8IY95","Q6S8J3","Q6S8J3_Q8IY95"
"Q9UNK0","P61026","P61026_Q9UNK0"
"Q9Y277","Q96T23","Q96T23_Q9Y277"
"Q8NAU1","O43918","O43918_Q8NAU1"
"Q96N66","Q9HCU9","Q96N66_Q9HCU9"
"Q00325","Q96JN2","Q00325_Q96JN2"
"O15260","Q96S44","O15260_Q96S44"
"P61619","Q969X5","P61619_Q969X5"
"P13612","Q7Z2W9","P13612_Q7Z2W9"
"Q13291","Q9BX63","Q13291_Q9BX63"
"P57088","Q9H813","P57088_Q9H813"
"Q8IV08","O00186","O00186_Q8IV08"
"O43464","Q6Y7W6","O43464_Q6Y7W6"
"O15400","Q13503","O15400_Q13503"
"P81408","Q99570","P81408_Q99570"
"O00559","Q5ST30","O00559_Q5ST30"
"Q5J8M3","Q9NT62","Q5J8M3_Q9NT62"
"Q96RD7","Q6SPF0","Q6SPF0_Q96RD7"
"Q8IXI1","P10147","P10147_Q8IXI1"
"Q969N2","O14862","O14862_Q969N2"
"Q9UKV5","P25942","P25942_Q9UKV5"
"P15144","O00151","O00151_P15144"
"Q9Y3E0","B7ZAP0","B7ZAP0_Q9Y3E0"
"Q96A33","P83916","P83916_Q96A33"
"Q86X19","Q9H257","Q86X19_Q9H257"
"Q9Y2U8","O95239","O95239_Q9Y2U8"
"Q6ZMQ8","P11234","P11234_Q6ZMQ8"
"Q5JTH9","Q8ND24","Q5JTH9_Q8ND24"
"Q7KZN9","Q8N2W9","Q7KZN9_Q8N2W9"
"O75746","A0JLT2","A0JLT2_O75746"
"Q8IXI1","P37275","P37275_Q8IXI1"
"Q9UKV5","O43301","O43301_Q9UKV5"
"P03886","P12109","P03886_P12109"
"Q9C0E8","P54725","P54725_Q9C0E8"
"Q9NVI7","Q9Y5Y0","Q9NVI7_Q9Y5Y0"
"Q96G97","Q8N6Q3","Q8N6Q3_Q96G97"
"O15126","O43524","O15126_O43524"
"O00767","Q86WK6","O00767_Q86WK6"
"Q9UQV4","Q01196","Q01196_Q9UQV4"
"O14786","O15126","O14786_O15126"
"Q9H3K2","P13929","P13929_Q9H3K2"
"P49755","Q8N3L3","P49755_Q8N3L3"
"Q15070","Q8NFC6","Q15070_Q8NFC6"
"P19022","P0CG37","P0CG37_P19022"
"Q9BYF1","Q96JM7","Q96JM7_Q9BYF1"
"Q86UL3","Q15555","Q15555_Q86UL3"
"O60503","Q8IWC1","O60503_Q8IWC1"
"P16615","Q9H496","P16615_Q9H496"
"Q9NQ11","Q9GZV8","Q9GZV8_Q9NQ11"
"Q9P0L0","Q96KQ7","Q96KQ7_Q9P0L0"
"O95159","P39687","O95159_P39687"
