protein.id.A	protein.id.B
Q07812	P55899
P49821	P45880
Q9BWW7	Q6P2P2
Q07954	P11226
Q8TAQ2	Q01201
Q16778	O00257
P10644	A6NFN3
Q86V15	P36578
P15880	O95994
P16989	P0C0S8
Q9UPY6	Q70Z53
Q9UBN7	P41252
Q7Z2W4	P51858
P62081	A0A1W2PQS6
P31943	P29558
Q9Y5V3	Q9UMS4
Q6ZMY9	Q09666
Q9H4D1	Q96GD4
Q9Y2M2	Q9UDY2
Q8WXG9	P18627
Q9Y5K5	O96019
Q15572	O75683
Q15392	P62805
Q08345	P98172
Q13895	O00571
Q9Y6Q9	O00482
Q6ZRS2	P82970
Q969P5	Q92734
Q13228	P35080
Q9HCE5	O95749
Q8WVX3	P0DP23
Q02241	O14578
Q9Y3Z3	Q9Y3I1
Q9NXW2	P78317
Q9NWS0	P21333
Q96S53	P21359
P79483	P01189
Q8N201	P43308
Q9Y294	P01106
Q9H6X4	O15244
P52333	O60674
P30530	O00743
Q8IWG5	P86480
Q9HCK1	P49840
P22061	O94889
Q9H7L9	Q5PSV4
P57055	B9A064
Q9UIF9	Q9HC52
Q9NZ63	Q14527
Q92610	P03372
Q08211	P54709
P04049	O75648
P49765	P42357
Q14847	P61970
Q96MX6	P48729
Q969H0	Q8WWC4
Q9UER7	Q92973
Q04727	P55771
Q9NVU7	P46013
Q9NQL9	P36406
Q6P2H3	Q68CZ1
Q13155	P78371
P35520	P24941
P62258	P17655
Q9H270	Q5VYK3
Q92974	O75386
Q9Y375	Q96RP9
P20073	P00488
Q9Y371	Q13901
Q8IY92	Q70EL2
P26368	O94761
P42167	P17931
Q9BQ67	O94761
Q9BZI7	Q13085
Q96EY4	Q07065
Q8TDX7	P35414
Q6DD88	Q69YN4
P50542	P01135
Q9UBD9	P23297
Q9BRR6	Q8N6G5
Q99502	P14625
Q14643	Q14457
P11217	O43741
Q6ZMZ3	O94901
Q9P1U0	Q9GZS1
Q7Z3Y8	Q12934
Q9H1E1	Q7Z2E3
Q9Y6J9	P16410
Q9BRX9	Q13948
Q4G1B2	P58340
P17813	O43583
Q96K58	Q8WYQ5
Q9UMZ2	Q92624
P22301	P06703
P17676	P13727
P10643	P07358
Q13428	O60885
Q96A44	Q14146
Q9H061	Q6P5W5
P49459	P43490
Q8IX90	P05067
Q86U06	P55072
Q5VVX9	Q5M7Z0
Q9NZB2	Q9C009
Q9H2F3	Q6P5X5
Q13057	B2RXH8
Q13185	P78347
Q8NDV7	P17028
Q7Z6Z7	P60228
Q9NZQ7	Q9NTJ3
Q6R327	P54136
Q96PM5	O94906
Q6YHU6	O00398
Q8N726	O43663
Q6P158	P60328
Q8N5G2	Q5JRV8
P43357	P36508
Q3KQU3	P39023
Q9NY47	P13727
Q9NQ84	Q9H3Q3
P62256	O43776
P07384	O95817
Q92731	O14979
Q5TCQ9	Q03112
Q12849	P22626
Q01995	P01037
Q9BXL5	O60603
Q99665	P51531
Q6FHY5	P60411
Q9UBV2	O43493
Q8TAT6	Q5JTD7
Q9BZE4	P31943
Q9Y2U9	Q86YD1
Q96FA3	Q15645
P11279	O60503
Q6ZTA4	Q5C9Z4
Q9H492	E9PFW3
P04908	O14579
Q9UNM6	Q7L2J0
Q9Y2X9	P11161
P99999	P04040
Q9Y3A2	O95793
Q9NQ75	P42684
P41236	P0DMV8
Q99959	P43626
P55036	P15927
Q9H9B4	P51784
Q96CS3	P25685
Q9P0U0	O00267
P61221	P35968
