"Truth","pairs","Protein1","Protein2"
"negative","Q9EQ31-Q8C172","Q8C172","Q9EQ31"
"negative","Q9ER00-O88324","O88324","Q9ER00"
"negative","Q9JJK5-P28230","P28230","Q9JJK5"
"negative","Q8CGF5-Q6P5F6","Q6P5F6","Q8CGF5"
"negative","Q8BR70-P35438","P35438","Q8BR70"
"negative","Q9WVK0-P00416","P00416","Q9WVK0"
"negative","Q8C838-P18052","P18052","Q8C838"
"negative","Q8R090-Q8BH31","Q8BH31","Q8R090"
"negative","Q9JJZ4-P19783","P19783","Q9JJZ4"
"negative","Q8K4C2-Q78IQ7","Q78IQ7","Q8K4C2"
"negative","Q91VK4-Q6PB93","Q6PB93","Q91VK4"
"negative","Q9QXY9-Q8BGA9","Q8BGA9","Q9QXY9"
"positive","P36371-O70577","P36371","O70577"
"negative","P97742-P63141","P63141","P97742"
"negative","Q9JIP7-Q9CQ92","Q9CQ92","Q9JIP7"
"negative","Q9ERY9-Q923Z0","Q923Z0","Q9ERY9"
"positive","Q9CXD6-Q8BJ03","Q9CXD6","Q8BJ03"
"negative","Q8K2P7-P48771","P48771","Q8K2P7"
"negative","Q63961-Q5XG73","Q5XG73","Q63961"
"negative","Q923J1-Q00993","Q00993","Q923J1"
"negative","Q3U1N2-P19783","P19783","Q3U1N2"
"negative","Q8VCK6-Q8BXA5","Q8BXA5","Q8VCK6"
"negative","Q91VS7-Q8K0C4","Q8K0C4","Q91VS7"
"negative","Q8BYI6-P54761","P54761","Q8BYI6"
"negative","Q9QYI4-Q66JT1","Q66JT1","Q9QYI4"
"negative","Q99PL5-O55003","O55003","Q99PL5"
"negative","P70126-P40240","P40240","P70126"
"negative","Q9D164-P58659","P58659","Q9D164"
"negative","Q9CQ56-P10852","P10852","Q9CQ56"
"negative","Q921I0-Q8K0E7","Q8K0E7","Q921I0"
"negative","Q62277-P55086","P55086","Q62277"
"negative","Q99KI3-Q68FE2","Q68FE2","Q99KI3"
"negative","Q8CIW6-E9PUL5","E9PUL5","Q8CIW6"
"negative","Q8BHG3-Q32NY4","Q32NY4","Q8BHG3"
"negative","Q9CR67-Q61490","Q61490","Q9CR67"
"negative","Q9D2R6-Q9CPZ6","Q9CPZ6","Q9D2R6"
"negative","Q9CQE2-Q5XJY4","Q5XJY4","Q9CQE2"
"negative","Q8BTZ5-Q6TEK5","Q6TEK5","Q8BTZ5"
"negative","P57716-P11911","P11911","P57716"
"negative","Q8VEM8-Q8K4C2","Q8K4C2","Q8VEM8"
"positive","Q91X86-P63024","Q91X86","P63024"
"negative","Q8K2C8-O35445","O35445","Q8K2C8"
"negative","Q9JLJ4-Q9CR60","Q9CR60","Q9JLJ4"
"negative","Q8VEM1-Q8BUY5","Q8BUY5","Q8VEM1"
"positive","Q8R3L5-Q01279","Q8R3L5","Q01279"
"negative","Q9CQZ6-Q8K0U3","Q8K0U3","Q9CQZ6"
"negative","Q9DBG6-Q8K1G2","Q8K1G2","Q9DBG6"
"negative","Q8BRG8-O70572","O70572","Q8BRG8"
"negative","Q9JIT0-Q14BI2","Q14BI2","Q9JIT0"
"positive","P43406-E9PUL5","P43406","E9PUL5"
"negative","Q9Z261-Q8R090","Q8R090","Q9Z261"
"negative","Q9D6J1-Q8CHK3","Q8CHK3","Q9D6J1"
"negative","Q9D3A9-Q8VCX2","Q8VCX2","Q9D3A9"
"negative","Q8CIW6-Q8BH31","Q8BH31","Q8CIW6"
"negative","Q9D882-Q8C172","Q8C172","Q9D882"
"negative","Q8BXA5-Q07113","Q07113","Q8BXA5"
"negative","P29533-O35683","O35683","P29533"
"negative","Q62442-Q61263","Q61263","Q62442"
"negative","Q8BX90-Q8BGX2","Q8BGX2","Q8BX90"
"negative","Q9JLJ4-P56395","P56395","Q9JLJ4"
"negative","Q91WS0-Q01887","Q01887","Q91WS0"
"negative","Q9JJK5-Q7TQE6","Q7TQE6","Q9JJK5"
"negative","Q9CPV0-P70206","P70206","Q9CPV0"
"negative","Q8BWP8-Q6TEK5","Q6TEK5","Q8BWP8"
"negative","Q8VC65-Q80TI0","Q80TI0","Q8VC65"
"negative","Q8R1V4-P70423","P70423","Q8R1V4"
"negative","Q99KU0-Q91VC9","Q91VC9","Q99KU0"
"negative","P97333-P56402","P56402","P97333"
"negative","Q9CUS9-P18762","P18762","Q9CUS9"
"negative","Q9R0K7-Q62312","Q62312","Q9R0K7"
"negative","Q9D6J1-O89001","O89001","Q9D6J1"
"negative","Q8VHE0-P70126","P70126","Q8VHE0"
"negative","Q9DAV9-Q9D958","Q9D958","Q9DAV9"
"negative","Q6PDC8-Q3TYX2","Q3TYX2","Q6PDC8"
"negative","Q9D2C7-Q5NCE8","Q5NCE8","Q9D2C7"
"negative","Q99JG2-P23979","P23979","Q99JG2"
"negative","Q9D162-P46096","P46096","Q9D162"
"negative","Q9DBU0-Q91YT2","Q91YT2","Q9DBU0"
"negative","Q91V01-Q6NZQ8","Q6NZQ8","Q91V01"
"negative","Q8BHK2-Q8BHC7","Q8BHC7","Q8BHK2"
"negative","Q3TCT4-P23979","P23979","Q3TCT4"
"negative","Q925I1-Q8CIV2","Q8CIV2","Q925I1"
"negative","Q9CR62-Q922P8","Q922P8","Q9CR62"
"negative","Q80WQ6-Q3TEW6","Q3TEW6","Q80WQ6"
"negative","Q9D8B6-Q9D304","Q9D304","Q9D8B6"
"negative","P82349-P70387","P70387","P82349"
"negative","Q8VCX2-Q8BW93","Q8BW93","Q8VCX2"
"negative","Q62186-O88786","O88786","Q62186"
"negative","Q91VK4-Q61102","Q61102","Q91VK4"
"negative","P35951-P16092","P16092","P35951"
"negative","Q8K2A8-P54830","P54830","Q8K2A8"
"negative","Q91VS7-Q80WJ7","Q80WJ7","Q91VS7"
"negative","Q8K1E0-Q62371","Q62371","Q8K1E0"
"negative","Q99LH2-Q06335","Q06335","Q99LH2"
"negative","Q80TN5-P36895","P36895","Q80TN5"
"negative","Q91XE8-Q91X78","Q91X78","Q91XE8"
